original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
BANK COMMONWEALTH DETROIT MICH,bank commonwealth detroit mich,6.75,1.75,1,0,0,0.3333333333333333,3,0.0,0,c050,30.35575442468384,27
NATIONAL ENTERPRISE BANK,national enterprise bank,7.333333333333333,2.3333333333333335,0,1,0,0.4090909090909091,4,0.0,0,e530,14.4679636765504,22
Bank of New York Mellon Corp (The),bank of new york mellon,3.8,1.2,1,0,0,0.3684210526315789,3,0.0,0,m040,1.622309803407977,19
BANK NEW YORK INC,bank new york,3.6666666666666665,1.0,1,0,0,0.3636363636363636,2,0.0,0,b052,2.664984504228367,11
Bank South Corp,bank south,4.5,1.0,1,0,0,0.3333333333333333,1,0.0,1,s030,3.375025274239825,9
BANKAMERICA RLTY INVS,bankamerica rlty invs,6.333333333333333,2.3333333333333335,1,0,0,0.3684210526315789,3,1.0,0,b052,40.87659123037932,19
Liberty Bancorp Inc/OK,liberty bancorp ok,5.333333333333333,2.3333333333333335,0,1,0,0.375,2,0.3333333333333333,0,l010,13.831571478151224,16
Bard (C.R.) Inc,bard,4.0,1.0,1,0,0,0.25,1,0.0,1,b063,-2.3787953273982785,4
BARDEN CORP,barden,6.0,2.0,1,0,0,0.3333333333333333,1,0.0,1,b063,3.320998438405006,6
ZENITH INCOME FD INC,zenith income fd,4.666666666666667,1.6666666666666667,0,0,1,0.3571428571428571,2,0.0,0,z050,19.241917092458976,14
ZENIX INCOME FUND INC,zenix income,5.5,2.0,0,0,1,0.4545454545454545,2,0.5,1,i520,10.53900672399658,11
Barnwell Industries Inc,barnwell industries,9.0,2.5,1,0,0,0.3333333333333333,2,0.0,1,i530,25.9870557319492,18
BARON DATA SYS,baron data sys,4.0,1.6666666666666667,1,0,0,0.4166666666666667,3,0.3333333333333333,0,b060,1.5854204198243336,12
Barrick Mining Corporation,barrick mining,6.5,2.0,1,0,0,0.3076923076923077,3,0.5,1,b060,6.2434863458347305,13
BEACON PHOTO SVC INC,beacon photo svc,4.666666666666667,1.6666666666666667,1,0,0,0.3571428571428571,3,0.0,0,b020,8.252477895179503,14
BARNES GROUP INC,barnes,6.0,1.0,1,0,0,0.3333333333333333,1,0.0,1,b065,3.4339611213462455,6
BARRIER SCIENCE & TECHNOLOGY,barrier science technology,8.0,3.0,1,0,0,0.4166666666666667,4,0.0,0,t020,23.11433582443352,24
BARRINGER RESOURCES INC,barringer resources,9.0,3.0,1,0,0,0.3888888888888889,5,0.0,1,b060,22.545772044862694,18
BARRINGER TECHNOLOGIES INC,barringer technologies,10.5,3.5,1,0,0,0.3809523809523809,3,0.0,1,t020,29.45292850892019,21
