,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
29,Adams Diversified Equity Fund Inc,adams diversified equity,7.333333333333333,3.0,1,0,0,0.5,4,0.0,0,d010
30,ADAMS EXPRESS CO,adams express,6.0,2.0,1,0,0,0.3333333333333333,3,0.0,1,e216
31,Adams Resources & Energy Inc.,adams resources energy,6.666666666666667,2.6666666666666665,1,0,0,0.45,4,0.0,0,r020
32,ADCOR ELECTRONICS INC,adcor electronics,8.0,3.0,1,0,0,0.375,3,0.5,1,e402
33,ADVERTISING UNLIMITED LTD,advertising unlimited,10.0,4.0,1,0,0,0.4,4,0.0,1,a310
34,AEQUITRON MEDICAL INC,aequitron medical,8.0,3.0,1,0,0,0.5,2,0.5,1,a020
35,AERO SYSTEMS INC,aero systems,5.5,2.0,1,0,0,0.45454545454545453,3,0.0,1,s023
36,NUVEEN NEW YORK MUN VALUE FUND,nuveen new york mun value,4.2,1.4,0,1,0,0.47619047619047616,4,0.2,0,n010
37,AEROJET GENERAL CORP,aerojet general,7.0,3.0,1,0,0,0.5,4,0.0,1,a060
38,ADVANCED MICRO DEVICES INC,advanced micro devices,6.666666666666667,2.3333333333333335,1,0,0,0.4,3,0.0,0,a310
39,ADVENTURE LANDS OF AMERICA INC,adventure lands of america,5.75,2.25,1,0,0,0.43478260869565216,4,0.0,0,a310
40,Aetna Inc.,aetna,5.0,2.0,1,0,0,0.6,2,0.0,1,a035
41,AETNA INC NEW,aetna new,4.0,1.5,1,0,0,0.5,2,0.0,1,a035
42,AEICOR INC,aeicor,6.0,2.0,1,0,0,0.6666666666666666,1,1.0,1,a020
43,Affiliated Capital Corp,affiliated capital,8.5,4.0,1,0,0,0.47058823529411764,4,0.0,1,a104
44,Agnico Eagle Mines Ltd,agnico eagle mines,5.333333333333333,2.0,1,0,0,0.5,3,0.3333333333333333,0,a250
45,Alanco Technologies Inc,alanco technologies,9.0,3.5,1,0,0,0.4444444444444444,3,0.5,1,t020
46,NUVEEN PREMIUM INC MUNI FD INC,nuveen premium muni fd,4.75,2.0,0,1,0,0.42105263157894735,3,0.25,0,p605
