original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
BUFFTON OIL & GAS INC,buffton oil gas,4.333333333333333,1.3333333333333333,1,0,0,0.3846153846153846,2,0.3333333333333333,0,b013,11.566510821704334,13
BUFFTON CORP,buffton,7.0,2.0,1,0,0,0.2857142857142857,2,1.0,1,b013,11.889366315301755,7
PSIVIDA LTD,psivida,7.0,3.0,0,1,0,0.4285714285714285,2,1.0,1,p201,6.554126018067807,7
GOODRX HOLDINGS INC,goodrx,6.0,1.0,0,1,0,0.3333333333333333,2,1.0,1,g036,11.95865705522964,6
LENSAR INC,lensar,6.0,2.0,0,1,0,0.3333333333333333,1,1.0,1,l052,5.486751484909703,6
PRELUDE THERAPEUTICS INC,prelude therapeutics,9.5,3.0,0,1,0,0.4210526315789473,4,0.0,1,t060,23.916509588691504,19
CLEVITE CORP,clevite,7.0,2.0,1,0,0,0.4285714285714285,2,1.0,1,c401,5.146944581164883,7
BUFFUMS,buffums,7.0,2.0,1,0,0,0.2857142857142857,2,1.0,1,b010,11.05960707696228,7
ARMSTRONG CORK CO,armstrong cork,6.5,1.5,1,0,0,0.2307692307692307,3,0.0,1,a652,12.040133052637334,13
ARMSTRONG WORLD INDUSTRIES INC,armstrong world industries,8.0,2.0,1,0,0,0.2916666666666667,4,0.0,0,i530,33.000799680696915,24
ARMSTRONG HOLDINGS INC,armstrong,9.0,2.0,1,0,0,0.2222222222222222,2,0.0,1,a652,13.989654591521813,9
BUILDERS TRANSPORT INC,builders transport,8.5,2.0,1,0,0,0.2941176470588235,3,0.0,1,t605,21.125451327910284,17
BUILDING & LAND TECHNOLOGY CORP,building land technology,7.333333333333333,2.3333333333333335,1,0,0,0.3636363636363636,3,0.0,0,t020,21.166049618950893,22
SWIFT & CO,swift,5.0,1.0,0,1,0,0.2,1,0.0,1,s013,2.8738845693566515,5
ESMARK INC,esmark,6.0,2.0,1,0,0,0.3333333333333333,1,0.0,1,e250,7.802282214444609,6
